,date,region,confirmed,X,X2
0,2020-05-02,DE,61,0.0,0.0
1,2020-05-03,DE,63,70.69403143633691,22.6602
2,2020-05-04,DE,68,66.7622722824759,7.4719
3,2020-05-05,DE,69,71.7385703972288,8.8083
4,2020-05-06,DE,69,72.9540362093663,6.9456
5,2020-05-07,DE,70,72.8010171424351,5.0097
6,2020-05-08,DE,76,73.0207803597706,3.9006
7,2020-05-09,DE,84,76.7661564882342,4.9493
8,2020-05-10,DE,88,83.6057349728614,7.3641
9,2020-05-11,DE,89,89.6609882148402,8.8058
10,2020-05-12,DE,91,93.2145602553408,8.5894
11,2020-05-13,DE,97,95.7123576496659,7.8637
12,2020-05-14,DE,97,100.04593492136,8.2862
13,2020-05-15,DE,105,101.89422536604799,7.2864
14,2020-05-16,DE,108,107.090359353679,8.3055
15,2020-05-17,DE,111,111.38928120731,8.6039
16,2020-05-18,DE,114,115.02082545291401,8.4763
17,2020-05-19,DE,125,118.20531015303699,8.1416
18,2020-05-20,DE,136,126.060931775797,10.3689
19,2020-05-21,DE,144,136.858494479694,13.6268
20,2020-05-22,DE,161,147.39621477030002,15.9678
21,2020-05-23,DE,164,162.97394082377,20.427
22,2020-05-24,DE,174,172.799055674987,20.7633
23,2020-05-25,DE,181,182.883408217462,21.156999999999996
24,2020-05-26,DE,185,191.24215829332803,20.5396
25,2020-05-27,DE,196,196.63416507597302,18.4935
26,2020-05-28,DE,207,204.56500670026298,18.2856
27,2020-05-29,DE,211,214.295679195738,19.0838
28,2020-05-30,DE,220,220.85025736932099,18.0035
29,2020-06-01,DE,237,228.427291588156,17.7248
30,2020-06-02,DE,250,241.69196531852998,20.5348
31,2020-06-03,DE,274,256.057887278527,23.2581
32,2020-06-04,DE,283,277.59258799094,29.1394
33,2020-06-05,DE,291,294.041162074038,30.9119
34,2020-06-06,DE,303,306.07540989283797,29.915
35,2020-06-07,DE,0,317.639940328571,28.9069
36,2020-05-02,DW,43,0.0,0.0
37,2020-05-03,DW,46,49.8334975698769,15.9736
38,2020-05-04,DW,48,49.9820077993433,8.4061
39,2020-05-05,DW,50,51.180297165399104,6.2661
40,2020-05-06,DW,50,52.8155504157627,5.4633
41,2020-05-07,DW,56,52.9394673648627,4.0848
42,2020-05-08,DW,60,57.0007506064239,5.2967
43,2020-05-09,DW,66,61.3877859994052,6.3525
44,2020-05-10,DW,69,67.1872266180818,7.8922
45,2020-05-11,DW,72,71.8696226951293,8.4869
46,2020-05-12,DW,74,75.7694053175921,8.5296
47,2020-05-13,DW,76,78.5151339029385,7.9497
48,2020-05-14,DW,77,80.53976989263121,7.1244
49,2020-05-15,DW,81,81.5603492284363,5.9625
50,2020-05-16,DW,89,83.8975412812265,5.7786
51,2020-05-17,DW,99,89.64712324186479,7.4522
52,2020-05-18,DW,111,98.7720386769368,10.519
53,2020-05-19,DW,120,111.050058926431,14.5276
54,2020-05-20,DW,127,123.109041608839,17.4614
55,2020-05-21,DW,136,133.367066661594,18.7368
56,2020-05-22,DW,152,143.422916333373,19.5999
57,2020-05-23,DW,164,157.534104626094,22.4114
58,2020-05-24,DW,170,171.608063120193,24.5308
59,2020-05-25,DW,177,181.654924553267,24.0037
60,2020-05-26,DW,183,189.58496566384602,22.4779
61,2020-05-27,DW,186,195.637727523885,20.3194
62,2020-05-28,DW,189,198.835908117939,17.1602
63,2020-05-29,DW,191,200.49020814321997,13.9361
64,2020-05-30,DW,191,200.90691627400003,10.8253
65,2020-06-01,DW,209,199.666693055178,7.5779
66,2020-06-02,DW,219,208.83449490223703,10.6373
67,2020-06-03,DW,228,219.892401614232,13.9694
68,2020-06-04,DW,236,231.180252596842,16.627
69,2020-06-05,DW,238,241.63573763688203,18.2069
70,2020-06-06,DW,251,247.585948938319,17.0151
71,2020-06-07,DW,0,257.348904030602,18.1342
72,2020-05-02,KE,37,0.0,0.0
73,2020-05-03,KE,38,42.879986281056794,13.7447
74,2020-05-04,KE,41,40.1037980805866,4.1114
75,2020-05-05,KE,47,43.1225549644709,5.0791
76,2020-05-06,KE,52,49.299326705217396,7.7164
77,2020-05-07,KE,57,55.0110127542235,9.0386
78,2020-05-08,KE,63,60.523175247226604,9.8263
79,2020-05-09,KE,69,66.5995192782209,10.6981
80,2020-05-10,KE,76,72.9442609476479,11.4995
81,2020-05-11,KE,89,80.0253701631565,12.502
82,2020-05-12,KE,101,91.20471785171742,15.4389
83,2020-05-13,KE,108,104.200648911646,18.6491
84,2020-05-14,KE,112,114.938289756593,19.8959
85,2020-05-15,KE,120,122.077385254459,18.9314
86,2020-05-16,KE,134,129.314099313399,18.2497
87,2020-05-17,KE,149,140.418587001038,19.7867
