,date,DE,DW,KE,KW,OTH
0,2020-05-02,61,43,37,24,16
1,2020-05-03,63,46,38,32,16
2,2020-05-04,68,48,41,35,21
3,2020-05-05,69,50,47,36,22
4,2020-05-06,69,50,52,40,22
5,2020-05-07,70,56,57,47,23
6,2020-05-08,76,60,63,57,24
7,2020-05-09,84,66,69,61,25
8,2020-05-10,88,69,76,63,25
9,2020-05-11,89,72,89,68,26
10,2020-05-12,91,74,101,73,27
11,2020-05-13,97,76,108,75,29
12,2020-05-14,97,77,112,76,29
13,2020-05-15,105,81,120,87,31
14,2020-05-16,108,89,134,94,34
15,2020-05-17,111,99,149,105,36
16,2020-05-18,114,111,157,111,37
17,2020-05-19,125,120,163,118,42
18,2020-05-20,136,127,165,121,45
19,2020-05-21,144,136,180,134,48
20,2020-05-22,161,152,192,141,53
21,2020-05-23,164,164,203,143,55
22,2020-05-24,174,170,229,147,55
23,2020-05-25,181,177,233,150,72
24,2020-05-26,185,183,239,154,73
25,2020-05-27,196,186,251,155,75
26,2020-05-28,207,189,263,156,77
27,2020-05-29,211,191,279,163,78
28,2020-05-30,220,191,303,168,78
29,2020-06-01,237,209,343,195,92
30,2020-06-02,250,219,365,215,98
31,2020-06-03,274,228,388,227,111
32,2020-06-04,283,236,407,232,117
33,2020-06-05,291,238,430,247,121
34,2020-06-06,303,251,455,262,126
